key;en;es;gl
change_name-girl;;¿Por qué diablos ha dicho de vernos tan lejos?;
text;;Me da miedo salir a estas horas de noche.;
text;;Puede pasar cualquier cosa.;
text;;Así empezaban los cuentos que me contaban mis padres antes de irme a dormir;
text;;¿Qué habrás liado esta vez para que no puedas volver a entrar al pueblo?;
text;;La última vez te fuistes 3 días, pero esta vez ha sido más de una semana.;
text;;Además no podía ser mas inoportuno…;
text;;Mamá lleva varias noches mala y solo está empeorando;
text;;Y no es como si pudiera permitirme de nuevo poner un plato más en la mesa.;
text;;En el fondo… estaba deseando que nunca volvieras;
text;;Y ha sido que des una mínima señal de vida y aquí me tienes vagando por el bosque de noche.;
text;;¿Volverás rogándome que te perdone y diciendome que cambiarás?;
text;;Todo el mundo me lo dice, que no eres buena persona, y que si me quedo contigo estoy loca.;
text;;Pero yo se… que hay bondad en ti. Se que solo has tenido muy mala suerte en la vida.;
text;;Sé que si la gente comienza a tratarte bien, cambiarás a mejor.;
text;;Debí haberme traido ropa más caliente, el frío me está matando.;
text;;Y esta lámpara que llevo apenas da calor.;
text;;…;
text;;Creo que empiezo a verlo, mejor me doy prisa.;
text;;;
text;;;
load_animation-do_a_barrel_roll;;;
